File Name,Title,Meta Description,H1 Content,H2 Content,H3 Content,H4 Content,H5 Content,H6 Content,Paragraph Content,Date,Location
1716323825-158.html,Lightning Talks with CIDR | Center for Spatial and Textual Analysis,Please join us for a virtual CIDR-CESTA lightning talk gathering. This is an informal event geared towards bringing together researchers working on DH projects to allow them to share ideas and challenges and to gather feedback and insights from peers. Short presentations on work-in-progress will be followed by open discussion. Join the virtual gathering via Zoom.,Lightning Talks with CIDR,Events About People Connect With Us Contact Us,,,,,Please join us for a virtual CIDR-CESTA lightning talk gathering. This is an informal event geared towards bringing together researchers working on DH projects to allow them to share ideas and challenges and to gather feedback and insights from peers. Short presentations on work-in-progress will be followed by open discussion. Join the virtual gathering via Zoom. For more information or if you're interested in presenting in a future session please contact Marie Saldaña ( saldana [at] stanford.edu (saldana[at]stanford[dot]edu) ).,"Tue January 26th 2021, 12:00pm",
1716323825-271.html,CESTA Seminar Series with Abby Rumsey | Center for Spatial and Textual Analysis,"We Are What We Remember: Memory, Identity, and Forgetting",CESTA Seminar Series with Abby Rumsey,Events About People Connect With Us Contact Us,,,,,"We Are What We Remember: Memory, Identity, and Forgetting Abstract: Historian Abby Smith Rumsey will explore how memory shapes both personal and collective identity. Together biological and cultural memory create a sense of self that is stable yet always in flux. We exploit information technologies to elide the inevitable loss of human memory, in the process favoring some types of evidence over others. Digital memory appears to offer us a way around such limits. Image, sound, text, and data—all can be represented by digital code. Rumsey will discuss the responsibilities of the humanities to appraise the nature of digital code as a trustworthy medium to secure the integrity, authenticity, and accessibility of the memories that shape our collective identities. Bio: Abby Smith Rumsey is a writer and historian focusing on the creation, preservation, and use of the cultural record in all media. She has written and lectured widely on digital preservation, online scholarship, the nature of evidence, the changing roles of libraries and archives, intellectual property policies in the digital age, and the impact of new information technologies on perceptions of history and time. She served as director of the Scholarly Communication Institute at the University of Virginia, and has advised universities and their research libraries on strategies to integrate digital information resources into existing collections and services. Rumsey has a doctorate in Russian History from Harvard; she published When We Are No More: How Digital Memory is Shaping Our Future (Bloomsbury Press) in 2016.  If you cannot join us in person, please consider watching remotely via Zoom.","Tue February 19th 2019, 12:00 - 1:00pm","Wallenberg Hall, Fourth Floor"
1716323825-334.html,Introduction to Natural Language Processing (NLP) with Python | Center for Spatial and Textual Analysis,"The objective of this workshop is to teach students natural language processing in Python, with topics such as tokenization, part of speech tagging, and sentiment analysis.  This workshop will assume some basic understanding of Python syntax and programming. This workshop is offered by Stanford Libraries' Center for Interdisciplinary Research as part of its mission to provide training in technical academic research practices and applied research methods. ",Introduction to Natural Language Processing (NLP) with Python,Events About People Connect With Us Contact Us,,,,,"The objective of this workshop is to teach students natural language processing in Python, with topics such as tokenization, part of speech tagging, and sentiment analysis.  This workshop will assume some basic understanding of Python syntax and programming. This workshop is offered by Stanford Libraries' Center for Interdisciplinary Research as part of its mission to provide training in technical academic research practices and applied research methods.","Wed May 23rd 2018, 2:00 - 4:00pm",Green Library East 166 (IC Classroom)
1716323825-226.html,CESTA Seminar | Dr. Katie McDonough | Center for Spatial and Textual Analysis,"Please join us Monday, December 2, in the seminar room at CESTA (Bldg. 160, 4th Floor, Rm. 433A) from 12:00 – 1:00 pm for a CESTA Seminar. Lunch will be served.",CESTA Seminar | Dr. Katie McDonough,Events About People Connect With Us Contact Us,,,,,"Please join us Monday, December 2 , in the seminar room at CESTA (Bldg. 160, 4th Floor, Rm. 433A) from 12:00 – 1:00 pm for a CESTA Seminar. Lunch will be served. Dr. Katie McDonough will speak on Living with Machines , a collaborative, data-driven research project that quantifies how mechanization changed life during the long nineteenth century (1780-1918). By analyzing the UK’s growing number of digitized historical texts and documents, the project explores the fraught coexistence between humans and machines that continues today with AI and robotics. A collaboration between The Alan Turing Institute, the British Library, and the Universities of Cambridge, East Anglia, Exeter, and London, Living with Machines uses innovative computational tools and methods to create a new paradigm for how we use data to make sense of our shared past. Dr. Katie McDonough is a Senior Research Associate at The Alan Turing Institute. She completed her Ph.D. in History at Stanford in 2013 on the politics of highway construction in eighteenth century France. She has also taught at Bates College, held a postdoctoral research position in the Digital Humanities Research Group at Western Sydney University, and, while serving as the Academic Technology Specialist in the History Department at Stanford, was a founding member of the Early Modern Mobility project .","Mon December 2nd 2019, 12:00 - 1:00pm","Wallenberg Hall (Bldg. 160), 4th Floor, Seminar Room (room 433A)"
1716323825-363.html,CIDR Workshop: Data Manipulation with Python | Center for Spatial and Textual Analysis,"This workshop teaching basic data manipulations with Python using the Pandas library, and will cover topics such as loading data into a Pandas DataFrame, performing basic cleaning and analysis, and visualizing relevant aspects of a dataset. To learn these skills concretely, we will work with a dataset of tweets collected during the release of the Apple Watch.",CIDR Workshop: Data Manipulation with Python,Events About People Connect With Us Contact Us,,,,,"This workshop teaching basic data manipulations with Python using the Pandas library, and will cover topics such as loading data into a Pandas DataFrame, performing basic cleaning and analysis, and visualizing relevant aspects of a dataset. To learn these skills concretely, we will work with a dataset of tweets collected during the release of the Apple Watch. Prerequisites: You should be familiar with basic Python syntax and fundamental programming concepts such as variables, functions, and control flow. If you need a refresher, check out A Byte of Python This workshop is offered by Stanford Libraries' Center for Interdisciplinary Research as part of its mission to provide training in technical academic research practices and applied research methods.  Many thanks to the Center for Spatial and Textual Analysis for hosting us.","Thu October 26th 2017, 2:00 - 4:00pm","CESTA Large Conference Room (Wallenberg Hall/Bldg 160, Fourth Floor, Room 433A)"
1716323825-119.html,"Kat Reischl: ""Soviet Illustrated Periodicals as Data"" | Center for Spatial and Textual Analysis","This talk will survey a collaborative, interinstitutional digital humanities project: “The Pages of Early Soviet Performance.” Given the complexities of early Soviet journals’ graphic environments (including twenty-six distinct titles and over a hundred thousand articles, poems, editorial commentaries, advertisements, theater listings as well as images representing a variety of genres and media), extracting data from this source material presents an enormous set of challenges.","Kat Reischl: ""Soviet Illustrated Periodicals as Data""",Events About People Connect With Us Contact Us,,,,,"This talk will survey a collaborative, interinstitutional digital humanities project: “The Pages of Early Soviet Performance.” Given the complexities of early Soviet journals’ graphic environments (including twenty-six distinct titles and over a hundred thousand articles, poems, editorial commentaries, advertisements, theater listings as well as images representing a variety of genres and media), extracting data from this source material presents an enormous set of challenges. Our process and application of machine learning seeks to highlight the informative patterns that might be obscured in the simple process of manual or habitual reading, including issues’ editorial design to the larger-still structures of journal titles as complete entities. Through the abstraction of journal elements as data, we might produce representations that will make not only the journals’ contents, but also those big picture structures available to distant reading and analysis for researchers—be they scholars of Soviet periodicals, theater, performance, or media studies more broadly.  About the Speaker Kat Hill Reischl is Acting Assistant Professor in the Slavic Department at Stanford and Co-Editor-in-Chief of Canadian-American Slavic Studies. She is the author of Photographic Literacy: Cameras in the Hands of Russian Authors (Cornell UP) and project co-director of two ongoing digital humanities projects related to Soviet periodicals and illustrated children’s books. Her work on the intersections of text, image, and materiality also includes publications on Soviet children’s literature and digital media. She received her Ph.D. from the University of Chicago (2013) and has held positions at the University of New Mexico, the Herder Institute for Historical Research (Marburg, Germany), and Princeton University.","Tue October 19th 2021, 12:00 - 1:15pm",Online via Zoom
1716323825-230.html,Intermediate Python: Going Beyond Basic Commands | Center for Spatial and Textual Analysis,"Time and Date: Tuesday 12 November 2019 / 2:00PM - 4:00PM Location: Training Room 402, Li and Ma Science Library, Sapp Center For Teaching And Learning (Old Chem)",Intermediate Python: Going Beyond Basic Commands,Events About People Connect With Us Contact Us,,,,,"Time and Date: Tuesday 12 November 2019 / 2:00PM - 4:00PM Location: Training Room 402, Li and Ma Science Library, Sapp Center For Teaching And Learning (Old Chem) Admission: Free. Open to Current Stanford Affiliates only. Registration is required. Space is limited, with a waitlist when all slots are full. Logging into Google using your Stanford credentials (you may need to sign out of your personal account), sign up here: https://docs.google.com/forms/d/e/1FAIpQLSf9nMZwf8eHesECpOKemFQoAFcArDH… Audience: Faculty / Staff / Students Event Sponsor: Stanford University Libraries More Information and Description: ""Python is a general-purpose programming language used in different fields of research. In this 2h workshop, we will explore several powerful features of Python, often left out of introductory courses. Topics will include generators, comprehensions, map/filter functions, and some of the most useful modules in the standard library. To fully take advantage of this lesson, you should have a solid understanding of introductory concepts of programming in Python (variable types, for-loops, conditionals, and functions). If you are not sure you meet this soft requirement, feel free to reach out to the instructors and ask!""","Tue November 12th 2019, 2:00 - 4:00pm","Training Room 402, Li and Ma Science Library, Sapp Center For Teaching And Learning (Old Chem)"
1716323825-375.html,"CESTA Seminar | J.D. Porter & Hannah Walser ""Text Mining for Race and Ethnicity in American Fiction: 1789-1964"" | Center for Spatial and Textual Analysis","What are the literary and linguistic foundations of our understanding of race? This project maps the frequency and semantic associations of racial and ethnic terms across approximately 18,000 U.S. novels in order to construct a detailed historical picture of the American racial imaginary. By identifying significant collocates of key racial and ethnic terms at particular historical moments, we are able to reconstruct the semantic system that gave racial concepts narrative meaning.","CESTA Seminar | J.D. Porter & Hannah Walser ""Text Mining for Race and Ethnicity in American Fiction: 1789-1964""",Events About People Connect With Us Contact Us,,,,,"What are the literary and linguistic foundations of our understanding of race? This project maps the frequency and semantic associations of racial and ethnic terms across approximately 18,000 U.S. novels in order to construct a detailed historical picture of the American racial imaginary. By identifying significant collocates of key racial and ethnic terms at particular historical moments, we are able to reconstruct the semantic system that gave racial concepts narrative meaning. In this presentation, we will focus on two notable outcomes of our research. First, we show that collocate analysis enables us to assess the ""stickiness"" of any given ethnic identity: that is, how much did the American understanding of an ethnic category change over time? Second, we use our findings to gesture toward a quantitative analysis of linguistic patterns associated with stereotyping, and suggest directions for further research on the subject. J.D. Porter is a Ph.D. Candidate in English at Stanford University. His dissertation explains the relationship between social fictions (ideas that once seemed natural and uncontroversial, but today are understood as constructions) and American modernist literary form. He examines what four social fictions—race, money, gender, and nation— can tell us about modernism, and what the explorations of the modernists can tell us about our interactions with these social forms today. Hannah Walser earned her Ph.D. from the Department of English at Stanford in 2016 with a dissertation on nineteenth-century American fiction. Her research is located at the intersection of literature and cognitive science, with a particular focus on fiction's role in developing new and non-normative models of the mind. She currently works as the Assistant Director of the Literary Lab; this autumn, she will join the Harvard Society of Fellows as a Junior Fellow.","Tue May 9th 2017, 12:00 - 1:30pm","Bldg. 160, Rm. 433A"
1716323825-267.html,"CESTA Seminar Series with Elaine Treharne, Alice Staveley, Giovanna Ceserani, and Quinn Dombrowski | Center for Spatial and Textual Analysis","Abstract: In this Seminar, CESTA Director Dr. Elaine Treharne, Directory of the Digital Humanities Minor Dr. Alice Staveley, and Academic Technology Specialist Quinn Dombrowski will lead a broad discussion of what’s happening at the universi- ty—Data Science, HAI—and how we can ensure that Humanities is represented. Topics will include the latest re- search in Digital Humanities, research-led teaching, and the place of the Humanities at the heart of important campus-wide initiatives.","CESTA Seminar Series with Elaine Treharne,  Alice Staveley, Giovanna Ceserani, and Quinn Dombrowski",Events About People Connect With Us Contact Us,,,,,"Abstract: In this Seminar, CESTA Director Dr. Elaine Treharne, Directory of the Digital Humanities Minor Dr. Alice Staveley, and Academic Technology Specialist Quinn Dombrowski will lead a broad discussion of what’s happening at the universi- ty—Data Science, HAI—and how we can ensure that Humanities is represented. Topics will include the latest re- search in Digital Humanities, research-led teaching, and the place of the Humanities at the heart of important campus-wide initiatives. About the speakers: Dr. Elaine Treharne is the Roberta Bowman Denning Professor of the Humanities, Professor of English, Director of the Center for Spatial and Textual Analysis (CESTA), and the Director of Stanford Text Technologies. Her main re- search interests are in Early British manuscripts and the history of the technology of writing. Dr. Alice Staveley is a lecturer in the Department of English and the Director of it’s Honors program, the Director of the Digital Humanities Minor, and faculty lead for The Modernist Archives Publishing Project at CESTA. Her research interests include: modernism; narratology; book and periodical history; women and the professions; feminist and cultural theory; and digital humanities. Dr. Giovanna Ceserani is a Professor of Classics working on the classical tradition with an emphasis on the intellectual history of classical scholarship, historiography and archaeology from the eighteenth century onwards. Her research engages new digital approaches with a focus on eighteenth-century travel to Italy. She was a founding member of the Stanford digital project Mapping the Republic of Letters, and is director of the Stanford digital project The Grand Tour Project. Quinn Dombrowski is the Academic Technol- ogy Specialist in DLCL. She co-founded DHCommons, a directory of digital humanities projects, and was the director of DiRT (Digital Research Tools) directory from 2010 until 2017. She is also a co-editor of the Coding for Humanists series of practical, hands-on guides to digital humanities tools and technologies, and was the author of the inaugural volume, Drupal for Humanists. Visit cesta.stanford.edu/events for more information. Lunch will be served.","Tue February 26th 2019, 12:00 - 1:00pm","Wallenberg Hall, Fourth Floor"
1716323825-288.html,Introduction to Git & GitHub for Organizing Your Stuff | Center for Spatial and Textual Analysis,"Have you ever wanted an unlimited undo button to track your files and the changes that you made? Don't remember what your friend put in your document four months ago, but swears they cannot find? Version Control software like Git helps solve these problems. In this two-hour hands-on workshop, you will learn the basics of Git through the popular GitHub repository as well as the command line. No prior experience is required. Attendees will need to bring their own computer with administrative privileges to install the Git terminal.",Introduction to Git & GitHub for Organizing Your Stuff,Events About People Connect With Us Contact Us,,,,,"Have you ever wanted an unlimited undo button to track your files and the changes that you made? Don't remember what your friend put in your document four months ago, but swears they cannot find? Version Control software like Git helps solve these problems. In this two-hour hands-on workshop, you will learn the basics of Git through the popular GitHub repository as well as the command line. No prior experience is required. Attendees will need to bring their own computer with administrative privileges to install the Git terminal. Admission is free, but open to Current Stanford Affiliates only. Pre-registration is required. Space is limited, with a wait list when all slots are full.","Mon November 12th 2018, 2:00 - 4:00pm","Branner Library - Teaching Corner, Mitchell Earth Sciences Building"
