web-scraper-order,web-scraper-start-url,pagelink,pagelink-href,pagelink2,pagelink2-href
"1716323825-1","https://cesta.stanford.edu/events/past-events","","","Letterpress Workshop","https://cesta.stanford.edu/events/letterpress-workshop"
"1716323825-2","https://cesta.stanford.edu/events/past-events","","","Mellon Sawyer Seminar Series: Recuperating Forgotten Narratives, Part 2 (Ayesha Hardison)","https://cesta.stanford.edu/events/mellon-sawyer-seminar-series-recuperating-forgotten-narratives-part-2-ayesha-hardison"
"1716323825-3","https://cesta.stanford.edu/events/past-events","","","Runaway Enslaved Families in Senegal: Mothers, Children, Resistance, and Vulnerabilities, 1857-1903","https://cesta.stanford.edu/events/runaway-enslaved-families-senegal-mothers-children-resistance-and-vulnerabilities-1857-1903"
"1716323825-4","https://cesta.stanford.edu/events/past-events","","","The 2024 Stanford Caribbean Studies Symposium with Professor Usha Iyer","https://cesta.stanford.edu/events/2024-stanford-caribbean-studies-symposium-professor-usha-iyer"
"1716323825-5","https://cesta.stanford.edu/events/past-events","","","How Can We Best Use Visuals and Visualizations in Our Teaching?","https://cesta.stanford.edu/events/how-can-we-best-use-visuals-and-visualizations-our-teaching"
"1716323825-6","https://cesta.stanford.edu/events/past-events","","","CESTA Digital Humanities Luncheon","https://cesta.stanford.edu/events/cesta-digital-humanities-luncheon"
"1716323825-7","https://cesta.stanford.edu/events/past-events","","","Six Theses on an Aesthetics of Always-On Computing","https://cesta.stanford.edu/events/six-theses-aesthetics-always-computing"
"1716323825-8","https://cesta.stanford.edu/events/past-events","","","Elaine A. Sullivan: Sacred Vision at Saqqara: Reimagining the sensorium of the dead at an ancient Egyptian necropolis in 3D","https://cesta.stanford.edu/events/elaine-sullivan-sacred-vision-saqqara-reimagining-sensorium-dead-ancient-egyptian-necropolis"
"1716323825-9","https://cesta.stanford.edu/events/past-events","","","Mellon Sawyer Seminar Series: Data of Enslavement (Lauren Klein, Alex Borucki, and Gregory O'Malley)","https://cesta.stanford.edu/events/mellon-sawyer-seminar-series-data-enslavement-lauren-klein-alex-borucki-and-gregory-0"
"1716323825-10","https://cesta.stanford.edu/events/past-events","","","Mellon Sawyer Seminar Series: Data of Enslavement (Lauren Klein, Alex Borucki, and Gregory O'Malley)","https://cesta.stanford.edu/events/mellon-sawyer-seminar-series-data-enslavement-lauren-klein-alex-borucki-and-gregory-omalley"
"1716323825-11","https://cesta.stanford.edu/events/past-events","","","""Future Horizons"": Lightning Talks for New DH Projects","https://cesta.stanford.edu/events/future-horizons-lightning-talks-new-dh-projects"
"1716323825-12","https://cesta.stanford.edu/events/past-events","","","Brunch with Professor Alex Borucki (UCI)","https://cesta.stanford.edu/events/brunch-professor-alex-borucki-uci"
"1716323825-13","https://cesta.stanford.edu/events/past-events","","","Data Feminism for AI","https://cesta.stanford.edu/events/data-feminism-ai"
"1716323825-14","https://cesta.stanford.edu/events/past-events","","","Data Feminism for AI","https://cesta.stanford.edu/events/data-feminism-ai-0"
"1716323825-15","https://cesta.stanford.edu/events/past-events","","","Data Feminism Reading Group","https://cesta.stanford.edu/events/data-feminism-reading-group-0"
"1716323825-16","https://cesta.stanford.edu/events/past-events","","","Global Horizons for the Digital and Public Humanities","https://cesta.stanford.edu/events/global-horizons-digital-and-public-humanities"
"1716323825-17","https://cesta.stanford.edu/events/past-events","","","Using Wikipedia to Understand the Digital Global Public Sphere and Its Discontents: The Case of ‘Cancel Culture’","https://cesta.stanford.edu/events/using-wikipedia-understand-digital-global-public-sphere-and-its-discontents-case-cancel"
"1716323825-18","https://cesta.stanford.edu/events/past-events","","","Mellon Sawyer Seminar Series: Catastrophe, Data, and Transformation (Dagomar Degroot and Jessica Otis)","https://cesta.stanford.edu/events/mellon-sawyer-seminar-series-catastrophe-data-and-transformation-dagomar-degroot-and-jessica"
"1716323825-19","https://cesta.stanford.edu/events/past-events","","","Coffee, Cookies, Computers: Data Structures and Mathematics in the Humanities","https://cesta.stanford.edu/events/coffee-cookies-computers-data-structures-and-mathematics-humanities-0"
"1716323825-20","https://cesta.stanford.edu/events/past-events","","","Coffee, Cookies, Computers: Data Structures and Mathematics in the Humanities","https://cesta.stanford.edu/events/coffee-cookies-computers-data-structures-and-mathematics-humanities"
"1716323825-21","https://cesta.stanford.edu/events/past-events","","","SRC Fellowship Info Session","https://cesta.stanford.edu/events/src-fellowship-info-session"
"1716323825-22","https://cesta.stanford.edu/events/past-events","","","""Data Feminism"" Reading Group","https://cesta.stanford.edu/events/data-feminism-reading-group"
"1716323825-23","https://cesta.stanford.edu/events/past-events","","","Mellon Sawyer Seminar Series: Recuperating Forgotten Narratives (Marlene Daut)","https://cesta.stanford.edu/events/mellon-sawyer-seminar-series-recuperating-forgotten-narratives-marlene-daut-0"
"1716323825-24","https://cesta.stanford.edu/events/past-events","","","Haifeng Hui: Topic modeling and BookNLP: Seeking the emotional turn in the history of eighteenth-century English fiction","https://cesta.stanford.edu/events/haifeng-hui-topic-modeling-and-booknlp-seeking-emotional-turn-history-eighteenth-century"
"1716323825-25","https://cesta.stanford.edu/events/past-events","","","Debabelization: Language, Literature, and Computational Culture","https://cesta.stanford.edu/events/debabelization-language-literature-and-computational-culture"
"1716323825-26","https://cesta.stanford.edu/events/past-events","","","Genealogy, Islam, and Sorcery in Post-abolition Brazil: Digital Humanities Methods for African Diaspora Histories","https://cesta.stanford.edu/events/genealogy-islam-and-sorcery-post-abolition-brazil-digital-humanities-methods-african"
"1716323825-27","https://cesta.stanford.edu/events/past-events","","","Roundtable on Digital Environmental Humanities","https://cesta.stanford.edu/events/roundtable-digital-environmental-humanities-0"
"1716323825-28","https://cesta.stanford.edu/events/past-events","","","Roundtable on Digital Environmental Humanities","https://cesta.stanford.edu/events/roundtable-digital-environmental-humanities"
"1716323825-29","https://cesta.stanford.edu/events/past-events","","","[POSTPONED] Mellon Sawyer Seminar Series: Recuperating Forgotten Narratives (Marlene Daut and Ayesha Hardison)","https://cesta.stanford.edu/events/postponed-mellon-sawyer-seminar-series-recuperating-forgotten-narratives-marlene-daut-and"
"1716323825-30","https://cesta.stanford.edu/events/past-events","","","Digital Humanities Minor Open House Luncheon","https://cesta.stanford.edu/events/digital-humanities-minor-open-house-luncheon-0"
"1716323825-31","https://cesta.stanford.edu/events/past-events","","","Digital Humanities Minor Open House Luncheon","https://cesta.stanford.edu/events/digital-humanities-minor-open-house-luncheon"
"1716323825-32","https://cesta.stanford.edu/events/past-events","","","Sawyer DH Reading Group with Anne Ladyem McDivitt","https://cesta.stanford.edu/events/sawyer-dh-reading-group-anne-ladyem-mcdivitt"
"1716323825-33","https://cesta.stanford.edu/events/past-events","","","The Sawyer Graduate Reading Group","https://cesta.stanford.edu/events/sawyer-graduate-reading-group"
"1716323825-34","https://cesta.stanford.edu/events/past-events","","","Mellon Sawyer Seminar Series: Challenging 19th Century Data Legacies (Jo Guldi & Erik Fredner)","https://cesta.stanford.edu/events/mellon-sawyer-seminar-series-challenging-19th-century-data-legacies-jo-guldi-erik-fredner"
"1716323825-35","https://cesta.stanford.edu/events/past-events","","","Coffee, Cookies, Computers","https://cesta.stanford.edu/events/coffee-cookies-computers-0"
"1716323825-36","https://cesta.stanford.edu/events/past-events","","","Coffee, Cookies, Computers: Text Mining and NLP","https://cesta.stanford.edu/events/coffee-cookies-computers-text-mining-and-nlp"
"1716323825-37","https://cesta.stanford.edu/events/past-events","","","Coffee, Cookies, Computers","https://cesta.stanford.edu/events/coffee-cookies-computers"
"1716323825-38","https://cesta.stanford.edu/events/past-events","","","Mellon Sawyer Seminar Series: Transformation in the Archives (Alisea McLeod and Bethany Nowviskie)","https://cesta.stanford.edu/events/mellon-sawyer-seminar-series-transformation-archives-alisea-mcleod-and-bethany-nowviskie"
"1716323825-39","https://cesta.stanford.edu/events/past-events","","","Amy Nelson Burnett: What Social Network Analysis Can Tell Us About German Humanism","https://cesta.stanford.edu/events/amy-nelson-burnett-what-social-network-analysis-can-tell-us-about-german-humanism"
"1716323825-40","https://cesta.stanford.edu/events/past-events","","","Coffee Break at CESTA (December)","https://cesta.stanford.edu/events/coffee-break-cesta-december"
"1716323825-41","https://cesta.stanford.edu/events/past-events","","","Mellon Sawyer Seminar Series: Counting Before Computation - Brad Pasanek with a response by Matt Warner","https://cesta.stanford.edu/events/mellon-sawyer-seminar-series-counting-computation-brad-pasanek-response-matt-warner"
"1716323825-42","https://cesta.stanford.edu/events/past-events","","","Evelyn Gius and Svenja Guhr: Introduction to CATMA 7 - Software for Digital Text Annotation and Analysis","https://cesta.stanford.edu/events/evelyn-gius-and-svenja-guhr-introduction-catma-7-software-digital-text-annotation"
"1716323825-43","https://cesta.stanford.edu/events/past-events","","","Svenja Guhr: Sound in 19th Century Fiction","https://cesta.stanford.edu/events/svenja-guhr-sound-19th-century-fiction"
"1716323825-44","https://cesta.stanford.edu/events/past-events","","","Maurice Lee and Brad Rittenhouse: Experimenting with Emerson","https://cesta.stanford.edu/events/maurice-lee-and-brad-rittenhouse-experimenting-emerson"
"1716323825-45","https://cesta.stanford.edu/events/past-events","","","Mellon Sawyer Seminar Series: The Place of Data (Alan Liu and Roopika Risam)","https://cesta.stanford.edu/events/mellon-sawyer-seminar-series-place-data-alan-liu-and-roopika-risam"
"1716323825-46","https://cesta.stanford.edu/events/past-events","","","Coffee Break at CESTA (November)","https://cesta.stanford.edu/events/coffee-break-cesta-november"
"1716323825-47","https://cesta.stanford.edu/events/past-events","","","Estelle Freedman and Natalie Marine-Street: Data Mining, Meta-Data, Encoding, and More: Mixed Methods Analyses of Oral History Narratives","https://cesta.stanford.edu/events/estelle-freedman-and-natalie-marine-street-data-mining-meta-data-encoding-and-more-mixed"
"1716323825-48","https://cesta.stanford.edu/events/past-events","","","Lunch & Learn: The CESTA DH Fellows Program","https://cesta.stanford.edu/events/lunch-and-learn-cesta-dh-fellows-program"
"1716323825-49","https://cesta.stanford.edu/events/past-events","","","Coffee Break at CESTA (October)","https://cesta.stanford.edu/events/coffee-break-cesta-october"
"1716323825-50","https://cesta.stanford.edu/events/past-events","","","Alex Sherman: Four Theses on the Real and Imaginary British Empire, 1697-1829","https://cesta.stanford.edu/events/alex-sherman-four-theses-real-and-imaginary-british-empire-1697-1829"
"1716323825-51","https://cesta.stanford.edu/events/past-events","","","CESTA Digital Humanities Research Showcase 2023","https://cesta.stanford.edu/events/cesta-digital-humanities-research-showcase-2023"
"1716323825-52","https://cesta.stanford.edu/events/past-events","","","Critical Data Practices: Dr. Michele Mauri in conversation with Lindsay King, Beleicia Bullock, and CESTA-affiliated faculty","https://cesta.stanford.edu/events/critical-data-practices-michele-mauri"
"1716323825-53","https://cesta.stanford.edu/events/past-events","","","Elisabetta Scirocco: Mapping Sacred Spaces in Medieval Southern Italy","https://cesta.stanford.edu/events/elisabetta-scirocco-mapping-sacred-spaces-medieval-southern-italy"
"1716323825-54","https://cesta.stanford.edu/events/past-events","","","Seminar: Rethinking the Long Eighteenth Century: Social, Literary, and Political History in Pre- and Post-Revolutionary France","https://cesta.stanford.edu/events/seminar-rethinking-long-eighteenth-century"
"1716323825-55","https://cesta.stanford.edu/events/past-events","","","Saving Ukrainian Cultural Heritage Online: Socially-Engaged Digital Humanities","https://cesta.stanford.edu/events/saving-ukrainian-cultural-heritage-online-socially-engaged-digital-humanities"
"1716323825-56","https://cesta.stanford.edu/events/past-events","","","Tea Time at CESTA","https://cesta.stanford.edu/events/tea-time-cesta-0"
"1716323825-57","https://cesta.stanford.edu/events/past-events","","","Critical Data Practices: A Conversation with Deb Morrison","https://cesta.stanford.edu/events/critical-data-practices-conversation-deb-morrison"
"1716323825-58","https://cesta.stanford.edu/events/past-events","","","Know Systemic Racism: Was the police killing of Oscar Grant justified? How do we change the question?","https://cesta.stanford.edu/events/know-systemic-racism-was-police-killing-oscar-grant-justified-how-do-we-change-question"
