File Name,Section Heading,Section Text
1528221_cesta-newsletter-spring-2016.txt_1,CESTA Welcomes New Director,"CESTA is very excited to share the big news about the arrival of our new Director, Elaine Treharne, as of June 1. Welcome Elaine!

From the New Director:
It is with great pleasure that I take up the role of CESTA Director, after Zephyr Frank’s founding of the Center. Zephyr has built an extraordinary enterprise, characterized by dynamism, generosity, and innovation. Under his leadership, CESTA has pioneered Digital Humanities research and teaching at Stanford, and become a flagship initiative for DH globally. Dozens of exciting projects are currently hosted by CESTA, either as the funded research of individual scholars and groups, or the work of the pillar projects: Spatial History; Poetic Media; the Literary Lab; and Humanities+Design. A Certificate in DH for graduates, a DH Minor for undergraduates, Graduate Fellowships, and Undergraduate Research Assistants combine CESTA’s research with cutting-edge teaching and training. Collaborators come from all over the world to work with colleagues in CESTA, and the Center's reputation only serves to underscore its vibrancy and many successes to date.

Under my new Directorship, I’m hopeful that CESTA can expand its activities, particularly in the provision of DH teaching and research support; we’re hopeful of obtaining large grants to consolidate and enhance our spatial, textual, and cultural heritage research. We’ll welcome scholars from around the world, and hope to set up a variety of schemes that seek to facilitate the work, especially, of early careers academics. These are exciting times for Digital Humanities, and CESTA is well-positioned to set the agenda from its position of internationally renowned excellence
.

A Big Thank You to Our Departing Director:
Zephyr will be on leave from teaching and administration during the coming academic year as a fellow at the Center for Advanced Study in Behavioral Sciences. His current research involves the long history of melodrama as a form of social commentary in Brazil. Starting with nineteenth-century stage plays, his research will extend to popular films of the 1950s and the contemporary manifestation of melodrama in Brazilian telenovelas. Zephyr will maintain a presence in CESTA as the director of the Spatial History Project as he continues this work. We collectively send a very big thank you, Zephyr, for all of your hard work, vision, and perseverance! and we wish you the best on a much deserved break!"
1528221_cesta-newsletter-spring-2016.txt_2,CESTA Establishes New Center Manager Position!,"We are very excited to announce that CESTA has established its first official Manager position, to be held by Celena Allen as of June 1st. This is a significant achievement in CESTA's trajectory and growth, and thanks to everyone who made this possible. To date, this role has been an ad-hoc, general administrator role but now the position is recognized as official by the university, helping to consolidate CESTA’s provision and resource for faculty and student participants. CESTA is very lucky to have Celena as the first postholder, and we wish her the very best.

From the New Center Manager:
I would like to express my gratitude and excitement in taking on this new role in CESTA. A heartfelt thank you goes to both Matt Bryant and Zephyr Frank for their leadership, guidance and support throughout the years. I am very fortunate to work alongside an incredible group of colleagues and scholars continually pushing the bounds. I’ve thoroughly enjoyed working closely with the Spatial History Project and I look forward to extending my work across CESTA under Elaine’s direction."
1528221_cesta-newsletter-spring-2016.txt_3,Enchanting the Desert Launches,"In May the project Enchanting the Desert was formally published, and publicly released by Stanford University Press.  Project lead Nicholas Bauch has been working on Enchanting the Desert with colleagues around CESTA and the Bill Lane Center for the American West, along with the University Press editors, since 2012.

The publication of Enchanting the Desert marked the opening of Stanford University Press' digital publishing initiative, which peer-reviews, markets, and maintains born-digital scholarship in the same way it would treat a print monograph. The Press held a live-streamed launch event at the Rumsey Map Center on the Stanford campus; Nick and SUP discussed the culmination of years of work that SUP director Alan Harvey said embodies the Press’ hopes for its digital initiative going forward. Many sincere thank you's to all involved over the years!

The project’s lead programmer, Delenn Chin, will be taking a break from digital humanities while she heads off to Edinburgh, Scotland this summer to study artificial intelligence. Delenn has been an invaluable member of the project since her freshman year in 2014.

You can explore the project at Enchanting the Desert: A Pattern Language for the Production of Space (http://enchantingthedesert.com/home/) , as well as visit Enchanting the Desert on Stanford University Press (http://www.sup.org/books/title/?id=25726)  and the Spatial History Project (http://web.stanford.edu/group/spatialhistory/cgi-bin/site/project.php?id=1061) . The launch event (https://www.youtube.com/watch?v=KIpZWxFB0E4)  is also recorded online."
1528221_cesta-newsletter-spring-2016.txt_4,DH Asia Wraps Up First Year,"The DHAsia series continued this spring as scholars working at the intersection of digital humanities and Asian Studies visited CESTA to lecture and lead workshops. Stay tuned for next year's DHAsia residencies!
RICHARD HOYT LONG AND JEAN SO

In March, Richard Jean So and Hoyt Long from the University of Chicago gave the lecture ""Narrative as Algorithm: A Macroanalysis of Japanese and Chinese Texts."" They built on their talk with a workshop on ""text mining for humanists."" After choosing to work with either Japanese or Chinese, workshop participants learned how to analyze their documents with techniques like MDW (“most distinctive word""), which allows the extraction of words most characteristic of a group of texts. By the end of the session, everyone had created their own visualization of the “distance” between different works of literature.


HILDE DE WEERT

Hilde De Weert, professor at Leiden University, used her public lecture “Digital Perspectives on Imperial Chinese Political History” to discuss shifts in 12th century Chinese political communication, and to explain how she used old notebooks and letters to reconstruct the informal networks that shaped the country's political history. Hilde created an automatic system to mine classical Chinese texts for data, tagging documents’ references to people, places, and bureaucratic offices which can then be compared with other databases. In her workshop, she led a full room through two online platforms, Markus and Visus, that she designed with colleague Brent Ho to help scholars in the Chinese humanities link and visualize their data.

Hilde created Markus (http://dh.chinese-empires.eu/beta/) after realizing that manually annotating information in her texts was inefficient and not very user-friendly; Markus both automatically tags and lets researchers tag their own customized keywords, even helping to identify important words based on one’s interest. The result: a database of information that can then be explored graphically through Visus.

JAVIER CHA

CESTA welcomed Javier Cha from the University of Hong Kong as DHAsia’s penultimate visiting scholar. Javier discussed his research into the social environment and literary world of early Korea's ""yangban"" elite class, based on big-picture data-- from hundreds of literary texts, to family networks with thousands of nodes reconstructed from tombstones. Javier presented his computational analysis after introducing the broad concepts at play (“I’m an intellectual historian and I have to explain ideas first,” he said). Javier’s investigations began with the larger question of Confucianism’s development in Korea: why did Korea become a Confucian country some time between 1100 and 1500? A simple question, he reflected, “but simple questions tend to be the most complicated.” Javier's workshop expanded on his research methods, focusing on Cytoscape as a tool for genealogical analysis.
KRIS MANJAPRA

The very last DHAsia talk of this academic year featured Tufts University professor Kris Manjapra, who discussed his work at the intersection of oral history, digital humanities, and postcolonial studies in “The Visualization of Voice: Bengali Intellectuals in the Age of Decolonization, 1950-1980.”

Over the past 10 years, Kris has collected 70 oral histories that he says provide ""a bird’s eye view of the social relations embedded within"
1528221_cesta-newsletter-spring-2016.txt_5,the documents,".” Describing his process, Kris emphasized the importance of intimacy in this particularly interpersonal form of archiving, and discussed how network analysis gave him the “preparatory vision… for a more traditional historian’s work of interpretation.”  Kris followed his talk with the workshop ""The Curation of Voice: Enhancing Search, Discovery, and Content Structure in Oral History Collections."""
1528221_cesta-newsletter-spring-2016.txt_6,"Humanities + Design Aids Panama Papers Investigations, Wins ACLS Grant","You’ve probably heard of the Panama Papers, millions of leaked financial documents that have made countless headlines over the last few months. But you might not know that the tool that the International Consortium of Journalists (ICIJ) used to discover connections within this huge data trove originated in CESTA”s very own Humanities + Design lab. ICIJ reporters used the software “Linkurious (http://linkurio.us/#sthash.WhIBdf6U.dpuf) ,” which grew out of “Knot (http://knot-dev.herokuapp.com/investigate.html#sthash.WhIBdf6U.dpuf) ,” a data visualization tool built in collaboration with Sebastian Heymann and DensityDesign that developed during the August 2012 workshop Early Modern Time and Networks.

Stanford Libraries (http://library.stanford.edu/blogs/stanford-libraries-blog/2016/04/software-developed-stanford-helps-uncover-connections-panama) reports:

“Historians and journalists both work with incomplete, heterogeneous data sets and need tools to help them piece together a narrative based on fragmentary evidence. Knot is an example of injecting humanistic method into technology to help make sense of complex relationships-- In this case, the people and organizations behind more than 11.5 million financial and legal records.”

The H+D lab’s next phase of research along the lines of “Knot” is “Fibra,” which seeks to augment research through a graph modeling interface enriched by access to Linked Data. Fibra was one of just five projects from a pool of over 90 applications to receive a Digital Humanities Extension grant from the American Council of Learned Societies (ACLS); the grant will fund the project from July 1, 2016 to December of 2017 under the leadership of P.I.s Dan Edelstein and Nicole Coleman, who is also project director. H+D will work on Fibra with the Semantic Computing Group at Aalto, Finland and with Stanford University Libraries."
1528221_cesta-newsletter-spring-2016.txt_7,CESTA at the Rumsey Map Center Opening,"Members of CESTA helped celebrate the April opening of the incredible new David Rumsey Map Center (https://www.facebook.com/rumseymapcenter/) with presentations on their own map-related work. The Map Center's launch in Green Library unveiled a new collection of 150,000 pieces donated by David Rumsey to create a wealth of resources that Stanford Libraries calls “unparalleled on the West Coast.”

As part of the celebrations, Zephyr Frank led “Historical Maps and Economic Histories,” using his Rio de Janeiro research to demonstrate the possibilities of spatial data and ""visual arguments.""  One visualization, for example, depicted the slave market in Rio: it captured the movement of people across the city in order to demonstrate just how ubiquitous slavery was throughout the area and to ground large-scale analysis in personal experiences, attaching each data point to names and real circumstances in recognition of individual lives.

CESTA also gave a broad overview of its work. Celena Allen introduced CESTA as a collaborative digital humanities space, then turned the mic over to Richard White, Ryan Heuser, and Nick Bauch, who discussed their own projects from the Spatial History Project and the Literary Lab. All three shared how maps and spatial data opened up new and exciting research for them-- and even how, in Richard’s words, they “allowed me to do some of the best teaching I’ve ever done in my life."""
1528221_cesta-newsletter-spring-2016.txt_8,DH Workshops,"Ian Gregory on GIS mapping


Ian Gregory, Professor of Digital Humanities at Lancaster University, visited CESTA for an open discussion on GIS mapping and its applications to historical and literary analysis. Among other topics, Ian explained how he and fellow researchers explored language and place. Starting from an argument the poet Coleridge once had with a stranger about the proper way to describe a waterfall (“Beautiful”? “Majestic”? “Sublime”?), his group analyzed literary descriptions of the Lake District (http://www.lancaster.ac.uk/mappingthelakes/index.htm)  to find word ""hotspots"" and broad patterns.
Ben Adams on Frankenplace


The “Ad Hoc Mapping and Geography Group” met to hear University of Auckland’s Ben Adams discuss his tool ""Frankenplace,"" which maps places referenced in conjunction with particular search queries for an interactive, thematic way to organize and visualize information: http://frankenplace.com/. The application currently runs against Wikipedia and travel blog entires, but can be adapted to any corpus.

DH for Undergraduates

In May, staff at CESTA joined forces for a session of ""lightning talks"" introducing undergrads to the world of digital humanities, with a broad overview, an intro to DH tools such as Palladio, and a sampling of DH projects from the Poetic Media Lab and the Literary Lab. Even Research Assistants who work in CESTA on a daily basis enjoyed getting a broader taste of the programs, tools, and projects that DH has to offer. After hearing about Lacuna, one RA even asked how he could use it on his own outside the classroom!"
1528221_cesta-newsletter-spring-2016.txt_9,DH Career Panel,"How do you launch and navigate a career in digital humanities? CESTA hosted a May rountdtabe to answer these questions, featuring seven Stanford faculty, staff, and students with firsthand knowledge on the subject.

Moderator Molly Taylor-Polesky opened the discussion by asking younger panelists, including graduate students fresh out of the job search process, for their thoughts and advice.

“"
1528221_cesta-newsletter-spring-2016.txt_10,The people hiring,"really want you to reflect on what the field is,” said Molly, who will be moving on to a new position at Middle Tennessee State University soon. “I think they’re really pressing you to tell them what they want, and they don’t quite know what they want.”

The second half of the panel focused on digital humanists more established in their professional lives, who talked career paths, the DH community, and time management. For example, some wisdom on research projects from Stace Maples, Geospatial Manager at the Stanford Geospatial Center: “Often you know exactly what you want to do, and 99 percent of what you do is getting ready to do what you want to do-- trying to get over the data hump.”"
