Here is the extracted event information structured into CSV format from the provided document:

```
Date,Event,Description,Time
02 Jul 2015,Digital Humanities at Stanford,,
08 Jun 2015,Geospatial Narrative: Perspectives from the Humanities, Cartography and Geographic Information Science,,
05 May 2015,Humanities + Digital at the Stanford Humanities Center,,
25 Nov 2014,HIST205F Electronic Poster Session,"December 1 at 3:15pm",3:15pm
27 Jun 2014,New Multimedia Publication: Mapping Mobility in the Budapest Ghetto,,
30 May 2014,New Article in Journal of American History,,
```

- Each row represents an event with the date, title of the event and a description where applicable. The time is added in a separate column when mentioned explicitly, such as for the "Electronic Poster Session."
- Events without specific timing details or additional descriptions are left with an empty field in those columns.
